date_in,date_out,ticker,entry_px,exit_px,gross_ret,net_ret
2021-03-26,2021-04-13,TATASTEEL,76.977167399292,87.56510252006531,0.13754643719029191,0.13754643719029191
2021-03-26,2021-04-13,BAJAJ-AUTO,3613.7662395141606,3588.7246168579104,-0.006929508163100451,-0.006929508163100451
2021-03-26,2021-04-13,TITAN,1511.58726399292,1524.7683896789551,0.008720056062933912,0.008720056062933912
2021-03-26,2021-04-13,ADANIPORTS,705.72860824646,728.2646873394775,0.031933067229644285,0.031933067229644285
2021-03-26,2021-04-13,JSWSTEEL,446.89622425354014,627.948342178955,0.4051323508669824,0.4051323508669824
2021-03-26,2021-04-13,HINDUNILVR,2326.73110097168,2445.0486387158203,0.05085140164874624,0.05085140164874624
2021-03-26,2021-04-13,BAJAJFINSV,950.3520935485842,976.9336302752686,0.027970198526558354,0.027970198526558354
2021-03-30,2021-04-15,TATASTEEL,80.3048,89.47778549598694,0.11422711339779101,0.11422711339779101
2021-03-30,2021-04-15,KOTAKBANK,1788.0365625000002,1766.4939175,-0.012048212800458424,-0.012048212800458424
2021-03-30,2021-04-15,NTPC,108.11033393661502,100.9638549799347,-0.06610356934860917,-0.06610356934860917
2021-03-30,2021-04-15,ICICIPRULI,433.39496750000006,454.26264000000003,0.04814931890043228,0.04814931890043228
2021-03-30,2021-04-15,JSWSTEEL,469.2309967535401,626.7031046789551,0.33559613285335876,0.33559613285335876
2021-03-30,2021-04-15,HINDUNILVR,2407.8892375,2451.27482621582,0.018018099852826097,0.018018099852826097
2021-03-30,2021-04-15,TITAN,1558.11383298584,1532.68817314209,-0.016318229968491083,-0.016318229968491083
2021-03-30,2021-04-15,ADANIPORTS,713.25718324646,747.4911421789551,0.04799665497468375,0.04799665497468375
2021-03-30,2021-04-15,ONGC,103.89433500000001,104.6995674799347,0.007750494576385547,0.007750494576385547
2021-03-30,2021-04-15,POWERGRID,124.98378788429262,116.44218598617556,-0.06834167889058296,-0.06834167889058296
2021-03-31,2021-04-16,ONGC,102.53919303169252,106.89119004013061,0.042442278701110725,0.042442278701110725
2021-03-31,2021-04-16,TATASTEEL,81.494312399292,88.6858162700653,0.0882454696413364,0.0882454696413364
2021-03-31,2021-04-16,ICICIPRULI,447.29774212677006,449.3314873394775,0.004546737041500881,0.004546737041500881
2021-03-31,2021-04-16,HINDUNILVR,2440.764015,2449.5314937158205,0.0035921042189817065,0.0035921042189817065
2021-03-31,2021-04-16,ADANIPORTS,705.0761685070802,752.621545,0.0674329648576717,0.0674329648576717
2021-03-31,2021-04-16,HINDALCO,328.09530462677003,368.5903,0.12342448917181459,0.12342448917181459
2021-03-31,2021-04-16,TITAN,1563.9862195141602,1543.1481681420898,-0.013323679653995613,-0.013323679653995613
2021-03-31,2021-04-16,SBILIFE,884.20601399292,910.7169101605225,0.029982714150386558,0.029982714150386558
2021-03-31,2021-04-16,JSWSTEEL,470.2348067535401,617.040110321045,0.3121957402112272,0.3121957402112272
2021-03-31,2021-04-16,KOTAKBANK,1759.6789300000003,1757.3787546789551,-0.0013071562555136973,-0.0013071562555136973
2021-04-01,2021-04-19,KOTAKBANK,1811.4253845141602,1694.2701425,-0.06467572057657911,-0.06467572057657911
2021-04-01,2021-04-19,HINDUNILVR,2408.2406690283206,2427.3662662158204,0.007941730007913428,0.007941730007913428
2021-04-01,2021-04-19,TATASTEEL,86.63382235633851,88.46665325401307,0.021156066393282602,0.021156066393282602
2021-04-01,2021-04-19,M&M,810.67693149292,791.9212526605224,-0.023135824030242946,-0.023135824030242946
2021-04-01,2021-04-19,HINDALCO,351.58445250000005,360.0230599197388,0.024001651266813973,0.024001651266813973
2021-04-01,2021-04-19,ADANIPORTS,739.0551125000001,718.2031926605225,-0.02821429618278648,-0.02821429618278648
2021-04-01,2021-04-19,DRREDDY,921.0258187084962,989.8343029357911,0.07470852915261506,0.07470852915261506
2021-04-01,2021-04-19,BRITANNIA,3632.2864850000005,3728.53998064209,0.02649942289507745,0.02649942289507745
2021-04-01,2021-04-19,JSWSTEEL,510.68833750000005,613.4537898394775,0.20122929151378455,0.20122929151378455
2021-04-01,2021-04-19,SBILIFE,886.8159567535401,902.7971875000001,0.018020910229179954,0.018020910229179954
2021-04-05,2021-04-20,JSWSTEEL,519.471675,618.2354896789551,0.19012358022976916,0.19012358022976916
2021-04-05,2021-04-20,TATASTEEL,87.10561428169251,89.05938752006531,0.022429934677395957,0.022429934677395957
2021-04-05,2021-04-20,SBILIFE,875.87440324646,895.5250126605225,0.02243541921219161,0.02243541921219161
2021-04-05,2021-04-20,HINDALCO,351.98597037323003,357.98088258026127,0.0170316794180021,0.0170316794180021
