date,ticker,in_universe_flag
2021-10-28,HINDALCO,True
2021-10-28,HINDUNILVR,True
2021-10-28,ICICIBANK,True
2021-10-28,ICICIGI,True
2021-10-28,ICICIPRULI,True
2021-10-28,INDUSINDBK,True
2021-10-28,INFY,True
2021-10-28,ITC,True
2021-10-28,JSWSTEEL,True
2021-10-28,KOTAKBANK,True
2021-10-28,LT,True
2021-10-28,M&M,True
2021-10-28,MARUTI,True
2021-10-28,MUTHOOTFIN,True
2021-10-28,NESTLEIND,True
2021-10-28,NMDC,True
2021-10-28,NTPC,True
2021-10-28,ONGC,True
2021-10-28,PEL,True
2021-10-28,PIDILITIND,True
2021-10-28,POWERGRID,True
2021-10-28,RELIANCE,True
2021-10-28,SBILIFE,True
2021-10-28,SBIN,True
2021-10-28,SIEMENS,True
2021-10-28,SUNPHARMA,True
2021-10-28,TATASTEEL,True
2021-10-28,TCS,True
2021-10-28,TECHM,True
2021-10-28,TITAN,True
2021-10-28,ULTRACEMCO,True
2021-10-28,UPL,True
2021-10-28,VOLTAS,True
2021-10-28,WIPRO,True
2021-10-29,ADANIGREEN,True
2021-10-29,ADANIPORTS,True
2021-10-29,APOLLOHOSP,True
2021-10-29,ASIANPAINT,True
2021-10-29,AXISBANK,True
2021-10-29,BAJAJ-AUTO,True
2021-10-29,BAJAJFINSV,True
2021-10-29,BAJFINANCE,True
2021-10-29,BANDHANBNK,True
2021-10-29,BHARTIARTL,True
2021-10-29,BRITANNIA,True
2021-10-29,COALINDIA,True
2021-10-29,DIVISLAB,True
2021-10-29,DLF,True
2021-10-29,DRREDDY,True
2021-10-29,EICHERMOT,True
2021-10-29,GODREJCP,True
2021-10-29,GRASIM,True
2021-10-29,HAVELLS,True
2021-10-29,HCLTECH,True
2021-10-29,HDFCBANK,True
2021-10-29,HEROMOTOCO,True
2021-10-29,HINDALCO,True
2021-10-29,HINDUNILVR,True
2021-10-29,ICICIBANK,True
2021-10-29,ICICIGI,True
2021-10-29,ICICIPRULI,True
2021-10-29,INDUSINDBK,True
2021-10-29,INFY,True
2021-10-29,ITC,True
2021-10-29,JSWSTEEL,True
2021-10-29,KOTAKBANK,True
2021-10-29,LT,True
2021-10-29,M&M,True
2021-10-29,MARUTI,True
2021-10-29,MUTHOOTFIN,True
2021-10-29,NESTLEIND,True
2021-10-29,NMDC,True
2021-10-29,NTPC,True
2021-10-29,ONGC,True
2021-10-29,PEL,True
2021-10-29,PIDILITIND,True
2021-10-29,POWERGRID,True
2021-10-29,RELIANCE,True
2021-10-29,SBILIFE,True
2021-10-29,SBIN,True
2021-10-29,SIEMENS,True
2021-10-29,SUNPHARMA,True
2021-10-29,TATASTEEL,True
2021-10-29,TCS,True
2021-10-29,TECHM,True
2021-10-29,TITAN,True
2021-10-29,ULTRACEMCO,True
2021-10-29,UPL,True
2021-10-29,VOLTAS,True
2021-10-29,WIPRO,True
2021-11-01,ADANIGREEN,True
2021-11-01,ADANIPORTS,True
2021-11-01,APOLLOHOSP,True
2021-11-01,ASIANPAINT,True
2021-11-01,AXISBANK,True
2021-11-01,BAJAJ-AUTO,True
2021-11-01,BAJAJFINSV,True
2021-11-01,BAJFINANCE,True
2021-11-01,BANDHANBNK,True
2021-11-01,BHARTIARTL,True
2021-11-01,BRITANNIA,True
2021-11-01,COALINDIA,True
2021-11-01,DIVISLAB,True
2021-11-01,DLF,True
2021-11-01,DRREDDY,True
2021-11-01,EICHERMOT,True
2021-11-01,GODREJCP,True
2021-11-01,GRASIM,True
2021-11-01,HAVELLS,True
2021-11-01,HCLTECH,True
2021-11-01,HDFCBANK,True
2021-11-01,HEROMOTOCO,True
2021-11-01,HINDALCO,True
2021-11-01,HINDUNILVR,True
2021-11-01,ICICIBANK,True
2021-11-01,ICICIGI,True
2021-11-01,ICICIPRULI,True
2021-11-01,INDUSINDBK,True
2021-11-01,INFY,True
2021-11-01,ITC,True
2021-11-01,JSWSTEEL,True
2021-11-01,KOTAKBANK,True
2021-11-01,LT,True
2021-11-01,M&M,True
2021-11-01,MARUTI,True
2021-11-01,MUTHOOTFIN,True
2021-11-01,NESTLEIND,True
2021-11-01,NMDC,True
2021-11-01,NTPC,True
2021-11-01,ONGC,True
2021-11-01,PEL,True
2021-11-01,PIDILITIND,True
2021-11-01,POWERGRID,True
2021-11-01,RELIANCE,True
2021-11-01,SBILIFE,True
2021-11-01,SBIN,True
2021-11-01,SIEMENS,True
2021-11-01,SUNPHARMA,True
2021-11-01,TATASTEEL,True
2021-11-01,TCS,True
2021-11-01,TECHM,True
2021-11-01,TITAN,True
2021-11-01,ULTRACEMCO,True
2021-11-01,UPL,True
2021-11-01,VOLTAS,True
2021-11-01,WIPRO,True
2021-11-02,ADANIGREEN,True
2021-11-02,ADANIPORTS,True
2021-11-02,APOLLOHOSP,True
2021-11-02,ASIANPAINT,True
2021-11-02,AXISBANK,True
2021-11-02,BAJAJ-AUTO,True
2021-11-02,BAJAJFINSV,True
2021-11-02,BAJFINANCE,True
2021-11-02,BANDHANBNK,True
2021-11-02,BHARTIARTL,True
2021-11-02,BRITANNIA,True
2021-11-02,COALINDIA,True
2021-11-02,DIVISLAB,True
2021-11-02,DLF,True
2021-11-02,DRREDDY,True
2021-11-02,EICHERMOT,True
2021-11-02,GODREJCP,True
2021-11-02,GRASIM,True
2021-11-02,HAVELLS,True
2021-11-02,HCLTECH,True
2021-11-02,HDFCBANK,True
2021-11-02,HEROMOTOCO,True
2021-11-02,HINDALCO,True
2021-11-02,HINDUNILVR,True
2021-11-02,ICICIBANK,True
2021-11-02,ICICIGI,True
2021-11-02,ICICIPRULI,True
2021-11-02,INDUSINDBK,True
2021-11-02,INFY,True
2021-11-02,ITC,True
2021-11-02,JSWSTEEL,True
2021-11-02,KOTAKBANK,True
2021-11-02,LT,True
2021-11-02,M&M,True
2021-11-02,MARUTI,True
2021-11-02,MUTHOOTFIN,True
2021-11-02,NESTLEIND,True
2021-11-02,NMDC,True
